"","","","","deliverable","Weryfikacja fix-ów z czerwca (alt texty, meta titles, descriptions)","Weryfikacja zmian tech z lipca. Backlink outreach do PL health blogów","Link building: 10 guest posts. Google Discover optymalizacja","Sitemap update + crawl errors fix","Optymalizacja 'colostrum Black Friday' + pokrewne","2027 keyword strategy + content calendar","","","Ranking #1 na 'colostrum', 'colostrum dla dzieci', 'colostrum bovinum' — chronić + rozszerzać"
"","","","","prace","Keyword research: top 20 product pages. Competitor gap (Colostrigen, Immuno Lab)","Internal linking audit. Sitemap optimization","Analiza keyword rankings post-content. Adjustment plan","Core Web Vitals optymalizacja. Image WebP + lazy load","Przygotowanie content pod Q1 2027 (zdrowie, postanowienia)","Pełny SEO audit roczny","","",""
"","","","","","","","","","","","","",""
"","","","eCommerce / CRO","deliverable","Implementacja top 3 wniosków z audytu mobile. Cel: mobile CR z 2.09% na 2.3%","A/B test checkout: 1-page vs multi-step. Cel: +0.2pp CR","A/B test homepage: hero, bestsellers, social proof. Cel: bounce -1pp","Cart cross-sell widget + próg darmowej dostawy PLN 250. Cel: AOV +PLN 15","Dedykowana BF landing page (LP Generator). Flash sale: tiered discounts","Last-minute gift: express delivery badge. New Year promo page","CR 3.10% (z 2.34%), Mobile CR 2.80% (z 2.09%), AOV PLN 305 (z 272)","","Mobile = 79% ruchu, gap -1.17pp vs desktop. Zamknięcie 0.5pp = +PLN 45K/6M"
"","","","","deliverable","A/B test PDP: trust badges + sticky ATC mobile. Cel: +0.3pp mobile CR","Widget recenzji na PDP (Judge.me/Loox). Cel: social proof → +PLN 4K","Personalizowane rekomendacje produktów (Shopify app/custom)","Gift wrapping option. Pre-holiday countdown bar","BF exit-intent popup. Real-time monitoring: CR, cart abandon, speed","Full CRO audit H2 + plan 2027. PWA/app evaluation","","","PDP top 5: Colostrum Dwupak (PLN 13K), Proszek (PLN 12K), Fiberbiom (PLN 11K)"
"","","","","deliverable","Test pop-upów onsite: exit-intent, timing A/B. Cel: list growth +500/mies","Urgency elements: stock counter, 'ostatnio kupione'. Cel: +0.15pp CR","Predictive search optymalizacja. Cel: search→purchase +20%","Stress test checkout na ruch BF. Backup payment gateway","Monitoring konwersji BF w real-time. Iteracja w ciągu dnia","Items/order z 1.5 na 1.8 — ewaluacja cross-sell","","","Checkout: Przelewy24. Brak express payments — potencjał Apple Pay/Google Pay"
"","","","","prace","Benchmark checkout vs konkurencja. Identyfikacja top 3 mobile drop-off","Cart abandonment deep analysis. Cross-browser mobile testing","Page speed audit. Image optimization WebP + lazy load","Przygotowanie infrastruktury na BF traffic spike","A/B test analysis + winner deployment","Raport roczny CRO + plan 2027","","",""
"","","","","","","","","","","","","",""
"","","","Retention / Subskrypcje / Lojalność","deliverable","Wybór platformy subskrypcji (Recharge/Bold/Skio) → go/no-go. 3 nowe bundle zestawy","LAUNCH subskrypcji na top 3 produkty (120 kaps, Fiberbiom, proszek) — rabat 10%","Referral program: 'Daj 20 zł, Dostań 20 zł'. Subscription pause zamiast cancel","Holiday gift sets 3 warianty. Gift cards launch. Sub jako prezent ('3 mies. zdrowia')","BF exclusive subskrybenci: +5% extra. 'Kup 2→3. gratis'. Post-BF→sub konwersja","LAUNCH programu lojalnościowego (Bronze→Silver→Gold→Platinum). NY sub push -15%","Program lojalnościowy LIVE, subskrypcja 3+ produkty, repeat rate 62% (z 55%)","","Repeat rate 55% (powyżej benchmark) = silny demand na subskrypcję. 0% adoption dziś"
"","","","","deliverable","Cross-sell rekomendacje na Thank You page. Cel: +PLN 3K/mies","Loyalty program specyfikacja: 1 PLN = 1 pkt, 100 pkt = 5 zł rabat. Tiers design","Bundle-of-the-month. Subscription retention: analiza churn data","Subskrypcja jako prezent 'Podaruj zdrowie na 3 miesiące'","Konwersja 150 BF kupujących → subskrybentów","Top 100 customer appreciation. 'Noworoczne postanowienie' — 3 mies sub -15%","","","Subskrypcja top 3 = PLN 33K/mies baseline revenue (Dwupak+Fiberbiom+Proszek)"
"","","","","deliverable","-","Upsell modal pre-checkout. Cel: AOV +PLN 10","LTV cohort analysis. Referral performance tracking","Gift cards live + dedykowana LP","Loyalty program beta (closed, top 100 klientów). Feedback collection","Loyalty program open launch. Referral program skalowanie","","","Program lojalnościowy: research → spec (sie) → beta (paź-lis) → launch (gru)"
"","","","","prace","Research: Recharge vs Bold vs Skio. Analiza kosztów, integracja Shopify, UX","Konfiguracja subskrypcji w Shopify. Integracja z Klaviyo flows","Analiza danych subskrypcyjnych po 1 miesiącu. Iteration plan","Design gift sets + packaging. LP via LP Generator","Analiza BF retention data. Loyalty program QA","2027 loyalty roadmap: gamifikacja, VIP events, birthday program","","",""
"","","","","","","","","","","","","",""
"","","","Oferta / Produkt","deliverable","-","3 zestawy bundle LIVE (colostrum+fiberbiom, family pack, starter kit)","Analiza performance bundli po 1 mies. Adjustment pricing","Gift sets świąteczne + gift cards w sklepie","Tiered BF pricing (5%/10%/15% wg wartości koszyka). Mystery box","Oferta noworoczna: zestaw '2027 Start'. Ewaluacja SKU performance","Rozszerzona oferta bundli, gift cards, sezonowe zestawy","","AOV PLN 272, items/order 1.5. Target: AOV 305, items 1.8 — bundles kluczowe"
"","","","","prace","Analiza marż per produkt. Identyfikacja najlepszych par cross-sell","Monitoring sprzedaży bundli. Feedback klientów","Pricing adjustment na podstawie danych","Fotografie gift sets. Opisy produktów","BF stock planning. Analiza marż BF","2027 product roadmap","","",""
"","","","","","","","","","","","","",""
"","","","KAMIENIE MILOWE","","☐ RFM segmentacja live + kampanie 2x/tyg","☐ Subskrypcja LIVE (top 3 produkty) + SMS pilot","☐ Referral program LIVE + 'Back to Health' kampania","☐ Pre-BF list growth +2K + gift cards live","☐ Black Friday PLN 400K+ + loyalty beta (top 100)","☐ Program lojalnościowy LAUNCH + subskrypcja 5% adoption","","",""
"","","","KPI DASHBOARD","revenue","PLN 254K","PLN 275K","PLN 310K","PLN 310K","PLN 400K","PLN 310K","Średnia H2: PLN 310K (+39%)","",""
"","","","","email list","9.2K","10K","10.8K","12K","13.2K","14K","","",""
"","","","","CR overall","2.46%","2.52%","2.60%","2.65%","2.70%","2.80%","","",""
"","","","","mobile CR","2.30%","2.40%","2.50%","2.55%","2.60%","2.80%","","",""
"","","","","AOV","PLN 278","PLN 282","PLN 285","PLN 290","PLN 295","PLN 305","","",""
"","","","","active flows","10","12","13","14","14","14","","",""
"","","","","sub adopcja","0%","1%","2%","3%","4%","5%","","",""
"","","","","SMS baza","0","500","1.2K","2K","2.8K","3.5K","","",""
"","","","","","","","","","","","","",""
"","Strumień","Typ","Lista aktywności","","","","","","","","","",""
"","Marketing Automation","new feature","SMS channel launch (pilot → scale)","","","","","","","","","",""
"","Marketing Automation","new feature","Post-purchase cross-sell flow (3 emaile)","","","","","","","","","",""
"","Marketing Automation","new feature","Replenishment flow (auto-reorder 30/60/90d)","","","","","","","","","",""
"","Marketing Automation","new feature","Predykcyjny churn segment + win-back automation","","","","","","","","","",""
"","Marketing Automation","optimization","Porzucony koszyk v2 — split per grupa produktowa","","","","","","","","","",""
"","Marketing Automation","optimization","Browse abandonment v2 — CR z 0.9% na 2.5%","","","","","","","","","",""
"","Marketing Automation","optimization","Kampanie 2x→3x/tyg + segmentacja RFM","","","","","","","","","",""
"","Marketing Automation","optimization","Pre-BF list growth popup (+2K subskrybentów)","","","","","","","","","",""
"","SEO","new feature","Programmatic SEO: /colostrum-na-[dolegliwość] (10 stron)","","","","","","","","","",""
"","SEO","new feature","LLM-optimized content (4→6→8 artykułów/mies)","","","","","","","","","",""
"","SEO","new feature","Video embed (YT) na blog","","","","","","","","","",""
"","SEO","optimization","Schema markup Product+FAQ+Breadcrumb","","","","","","","","","",""
"","SEO","optimization","Core Web Vitals → all green mobile","","","","","","","","","",""
"","SEO","optimization","Internal linking audit + fix","","","","","","","","","",""
"","eCommerce","new feature","LP Generator v2 — holiday templates + auto-deploy","","","","","","","","","",""
"","eCommerce","optimization","Mobile CRO: sticky ATC, trust badges, PDP layout","","","","","","","","","",""
"","eCommerce","optimization","Checkout optymalizacja (1-page + express payments)","","","","","","","","","",""
"","eCommerce","optimization","Cart cross-sell widget + AOV uplift","","","","","","","","","",""
"","eCommerce","optimization","Social proof: recenzje widget + urgency elements","","","","","","","","","",""
"","Retention","new feature","Moduł subskrypcyjny (Recharge/Bold/Skio)","","","","","","","","","",""
"","Retention","new feature","Program lojalnościowy (points: 1 PLN=1 pkt, 4 tiers)","","","","","","","","","",""
"","Retention","new feature","Referral program ('Daj 20 zł, Dostań 20 zł')","","","","","","","","","",""
"","Retention","new feature","Gift cards + subscription-as-gift","","","","","","","","","",""
"","Oferta","new feature","3 zestawy bundle (colostrum+fiberbiom, family, starter)","","","","","","","","","",""
"","Oferta","new feature","Holiday gift sets (3 warianty)","","","","","","","","","",""
"","Oferta","optimization","Tiered BF pricing (5/10/15% wg wartości koszyka)","","","","","","","","","",""
