ID,Sprint,Daty,Stream,Stream nazwa,Zadanie,Owner,Priorytet,Estymacja,Wplyw KPI,Zaleznosci (ID),Status poczatkowy,Brama reczna,Definition of Done,Prompt Claude Code
C2,Tydzień 2 (W2),8–14 cze,C,Klaviyo / Email,Build Post-Purchase flow (2 maile: thank you + cross-sell),CC+ / Hybryda,P1,6h,email rev. +PLN 4K,C1,Zablokowane (zależność),Weryfikacja ręczna przed Done,"Flow live w Klaviyo; mail 1 (thank you, T+0) i mail 2 (cross-sell powiązanych kategorii, T+5); przetestowane na profilu testowym.","W Claude Code: przez klaviyo-mcp zbuduj Post-Purchase flow wyzwalany 'Placed Order'. Mail 1 (delay 0): podziękowanie + jak stosować produkt (edukacja, retencja). Mail 2 (delay 5 dni): cross-sell — jeśli kupił colostrum, poleć fiberbiom i odwrotnie (event.ProductName warunkowo). Pełny HTML inline CSS, max 600px, {% unsubscribe 'Anuluj subskrypcję' %}. Obrazy najpierw upload przez klaviyo_upload_image_from_url. Copy PL dopisuje/zatwierdza człowiek przed włączeniem."
A5,Tydzień 3 (W3),15–21 cze,A,SEO / Organic,Bulk fix meta titles (59) + meta descriptions (18),CC / Claude Code,P1,3h,organic CR · +PLN 2K,"A1, A2",Zablokowane (zależność),Weryfikacja ręczna przed Done,"≥95% pokrycia meta title/desc; zweryfikowane audytem; tytuły z frazą primary + brand, desc z CTA.","W Claude Code: dokończ research/seo-fix-plan.md — meta titles (59) i descriptions (18). Tytuł: [Primary KW] — [benefit] | GenActiv (≤60 zn.), frazy z keyword-map-2026.csv. Desc: ≤155 zn., z CTA i frazą. Bulk-update-seo partiami po 25, dry-run → zapis. Ponowny audyt na potwierdzenie ≥95%."
A6,Tydzień 3 (W3),15–21 cze,A,SEO / Organic,QA medyczne fala 1 (30 artykułów) + publikacja + zgłoszenie do GSC,CC+ / Hybryda,P1,ciągłe,organic sessions · +PLN 3K,A4,Zablokowane (zależność),Wymaga ręcznej interwencji przed startem,"30 artykułów po QA medycznym (poprawność, zgodność z claimami suplementowymi PL), opublikowanych na blogu, sitemap zaktualizowany, URLe zgłoszone w Google Search Console.","W Claude Code: po akceptacji medycznej opublikuj zatwierdzone artykuły z research/content-drafts/ na blog Shopify (Pages/Blog API), z meta+schema. Zaktualizuj sitemap. Wygeneruj listę URLi do ręcznego zgłoszenia w GSC. Człowiek robi QA medyczne PRZED tym krokiem (zgodność z dozwolonymi oświadczeniami)."
B3,Tydzień 3 (W3),15–21 cze,B,Konwersja (CRO),"▶ Build + launch A/B testu NOWEGO LAYOUTU (homepage + PDP, mobile-first)",CC+ / Hybryda,P1,12h,"CR mobile +0,3–0,5pp · +PLN 8K","B2, E1",Zablokowane (zależność),Weryfikacja ręczna przed Done,Test A/B live (split 50/50); wariant: sticky ATC mobile + trust badges + nowy układ above-the-fold; tracking w GA4 + narzędziu; min. próbka i czas trwania ustalone (≥2 tyg.).,"W Claude Code: zbuduj wariant B layoutu wg hipotez z raportu B2 (sticky Add-to-Cart na mobile, trust badges pod ceną, przebudowa above-the-fold). Zaimplementuj jako theme variant lub przez narzędzie A/B. Skonfiguruj split 50/50, event GA4 na purchase per wariant. Zwróć link podglądu obu wariantów + jak czytać wyniki. Analiza istotności = specjalista CRO."
C3,Tydzień 3 (W3),15–21 cze,C,Klaviyo / Email,Build Win-Back flow (90-dni nieaktywni),CC+ / Hybryda,P2,4h,email rev. + reaktywacja,C1,Zablokowane (zależność),Weryfikacja ręczna przed Done,Flow live; segment 90-day inactive; 2 maile (przypomnienie + zachęta/oferta); przetestowane.,"W Claude Code: przez klaviyo-mcp zbuduj Win-Back flow dla segmentu 'nie kupił od 90 dni'. Mail 1: 'tęsknimy' + przypomnienie wartości produktu. Mail 2 (T+4): zachęta (mały rabat lub bestseller). HTML inline, unsubscribe. Copy zatwierdza człowiek."
D2,Tydzień 3 (W3),15–21 cze,D,Retencja / LTV,"Audyt bundli + utworzenie 3 zestawów (colostrum+fiberbiom, family, starter)",CC+ / Hybryda,P2,6h,AOV + items/order · +PLN 4K,D1,Zablokowane (zależność),Weryfikacja ręczna przed Done,3 bundle live z ceną pakietową; widoczne w kolekcji i jako cross-sell na PDP; nazwy i opisy PL.,"W Claude Code: utwórz 3 produkty-bundle w Shopify (przez Shopify MCP/GraphQL): (1) Colostrum + Fiberbiom (gut+odporność), (2) Family Pack, (3) Starter Kit. Ustaw cenę pakietową (rabat vs suma składowych), opis PL, tagi. Człowiek zatwierdza ceny/marżę. Dodaj jako rekomendację na powiązanych PDP."
A7,Tydzień 4 (W4),22–28 cze,A,SEO / Organic,Generacja + QA fala 2 (do 60–100 łącznie) + start programmatic /colostrum-na-[stan],CC+ / Hybryda,P1,ciągłe,content velocity · +PLN 3–5K,"A4, A6",Zablokowane (zależność),Wymaga ręcznej interwencji przed startem,Łącznie 60–100 artykułów opublikowanych w czerwcu; szablon programmatic gotowy; pierwsze 10 stron condition wygenerowanych.,"W Claude Code: wygeneruj 2. falę artykułów (do łącznie 60–100), QA medyczne falami, publikuj. Dodatkowo zbuduj programmatic generator: dla listy stanów (odporność, przeziębienie, jelita, energia, dzieci, seniorzy...) generuj /pages/colostrum-na-[stan] z content_block + FAQ schema + powiązane produkty. Wygeneruj pierwsze 10. Pilnuj unikalności (nie duplikuj treści)."
C4,Tydzień 4 (W4),22–28 cze,C,Klaviyo / Email,Cadence kampanii 2×/tydzień + segmentacja per zainteresowanie produktem,CC+ / Hybryda,P1,4h,campaign rev. +PLN 4K,C1,Zablokowane (zależność),Weryfikacja ręczna przed Done,Kalendarz kampanii 2×/tydz. na resztę czerwca i lipiec; kampanie targetowane per segment/kategoria; pierwsze 2 wysłane.,W Claude Code: zaplanuj kalendarz 2 kampanii/tydzień (klaviyo-mcp). Segmentuj per zainteresowanie (kupujący colostrum vs fiberbiom). Przygotuj pierwsze 2 kampanie z copy z szablonów C1. Wysyłkę/akceptację potwierdza człowiek. Pamiętaj: campaign_report wymaga conversion_metric_id.
E3,Tydzień 4 (W4),22–28 cze,E,Automatyzacja / LP,Integracja content/LP engine z auto-SEO checklist + QA,CC / Claude Code,P2,6h,LP/artykuł jakość,"E2, A4",Zablokowane (zależność),Weryfikacja ręczna przed Done,Generowane LP i artykuły automatycznie dostają poprawne meta/schema/OG; QA checklist przechodzi w 100%; brak błędów walidacji schema.,"W Claude Code: dodaj warstwę auto-SEO do content/LP engine: automatyczne meta title/description, JSON-LD (Product/FAQPage/BreadcrumbList), OG tags, canonical. Dodaj walidację schema (rich results test). Uruchom na wygenerowanych dotąd LP/artykułach i napraw błędy. Raport: ile assetów, ile błędów schema naprawiono."
B4,Tydzień 4 (W4),22–28 cze,B,Konwersja (CRO),Monitoring A/B (odczyt interim) + page speed quick wins,CC+ / Hybryda,P2,4h,CR mobile (w toku),B3,Zablokowane (zależność),Weryfikacja ręczna przed Done,"Interim read testu (kierunek + czy zbliżamy się do istotności); lista quick-win speed (obrazy, lazy load) wdrożona jeśli bezpieczna.","W Claude Code: zrób audyt Core Web Vitals strony (LCP/CLS/INP) i przygotuj listę quick-winów (WebP, lazy load, defer skryptów). Wdroż bezpieczne zmiany przez theme API z backupem. Interim read A/B (kierunek) — pełna decyzja w lipcu, robi CRO."
D3,Tydzień 4 (W4),22–28 cze,D,Retencja / LTV,Decyzja narzędzia subskrypcji + start konfiguracji (pod launch lipcowy),MAN / Ręcznie,P1,4h,enabler (subskrypcja VII),D1,Zablokowane (zależność),Wymaga ręcznej interwencji przed startem,Apka subskrypcyjna wybrana (do 1.07) i zainstalowana; konfiguracja produktów top 3 rozpoczęta; plan launchu na lipiec.,
OPS1,Domknięcie (W5),29–30 cze,OPS,Operacje / Review,Snapshot KPI czerwca + raport co dowieziono vs plan,CC / Claude Code,P1,3h,governance,wszystkie,Zablokowane (zależność),Weryfikacja ręczna przed Done,"Snapshot z MCP: CR overall/mobile, organic sessions, lista email, email revenue, # artykułów, status A/B; tabela plan vs realizacja; lista przeniesień do lipca.","W Claude Code: pobierz z MCP snapshot na koniec czerwca: GA4 (sesje, CR overall/mobile, organic sessions), Shopify (przychód, zamówienia, AOV), Klaviyo (lista, flow/campaign revenue). Zestaw z baseline i targetem. Wygeneruj reports/czerwiec-2026-review.md: plan vs realizacja per zadanie + KPI delta + co przechodzi na lipiec."
OPS2,Domknięcie (W5),29–30 cze,OPS,Operacje / Review,"Handoff do lipca: decyzja A/B, gotowość subskrypcji, lock content velocity",MAN / Ręcznie,P1,2h,governance,"B4, D3, A7",Zablokowane (zależność),Wymaga ręcznej interwencji przed startem,Decyzja: wdrożyć/iterować wariant layoutu; subskrypcja gotowa do launchu 1–7 lipca; ustalone tempo treści na lipiec (≥40 art.).,
